[2023.09.07 14:09:08 - error] [parser] Parser module ParserInsight.dll loading failed
[2023.09.07 14:10:12 - info ] [parser] Parser module ParserInsight.dll loaded
[2023.09.07 14:10:15 - info ] [ParserInsight] MDCTest2859 login success
[2023.09.07 14:10:15 - info ] [ParserInsight] Connecting to [112.4.154.165] successed: 0, begin to subscibe data ...
[2023.09.07 14:10:15 - info ] [DoSubscribeMD] Subscribe 695 stocks from SSE
[2023.09.07 14:10:15 - info ] [DoSubscribeMD] Subscribe 816 stocks from SZSE
[2023.09.07 14:10:15 - info ] [ParserInsight] Market data of 695 instruments of SSE and 816 instruments of SZSE subscribed
[2023.09.07 14:10:15 - debug] code: 128109.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128105.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128066.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128118.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128056.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128116.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128035.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128101.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128041.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128083.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128090.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128143.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128125.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128144.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128141.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128132.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128097.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128136.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128122.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128128.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113532.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 110073.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113030.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 110070.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 110092.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113582.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113545.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 118031.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 600231.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603225.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 110076.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603278.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113578.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 601677.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 688219.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603738.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603212.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603810.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603208.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601801.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601666.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603681.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603051.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603890.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 688179.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601366.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600831.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113639.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 111012.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113569.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 110075.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 605007.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601899.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600577.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600633.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 688148.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603019.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603466.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603055.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 110052.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603679.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603688.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 688590.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600487.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600795.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 110084.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113644.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603887.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113066.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 118017.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603663.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603809.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603658.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 688030.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603989.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603368.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113625.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113619.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603058.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113054.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 601799.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603499.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 605488.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601778.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601619.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603477.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601139.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 605088.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603035.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600109.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113046.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603131.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 601857.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600075.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603320.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:29 - info ] [parser] Parser module ParserInsight.dll loaded
[2023.09.07 14:10:32 - info ] [ParserInsight] MDCTest2859 login success
[2023.09.07 14:10:32 - info ] [ParserInsight] Connecting to [112.4.154.165] successed: 0, begin to subscibe data ...
[2023.09.07 14:10:32 - info ] [DoSubscribeMD] Subscribe 695 stocks from SSE
[2023.09.07 14:10:32 - info ] [DoSubscribeMD] Subscribe 816 stocks from SZSE
[2023.09.07 14:10:32 - debug] code: 603336.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 111009.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 600004.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 113661.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 113561.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 601998.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603833.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 688186.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603298.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - info ] [ParserInsight] Market data of 695 instruments of SSE and 816 instruments of SZSE subscribed
[2023.09.07 14:10:32 - debug] code: 605020.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 601515.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603079.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 601966.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603861.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 110064.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 601137.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 118022.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 603176.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603323.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 118027.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 113610.SH, date: 20230907type:bond
[2023.09.07 14:10:32 - debug] code: 603667.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 603901.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:32 - debug] code: 600323.SH, date: 20230907 type:stock...........
