[2023.08.30 10:53:09 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 10:53:09 - info ] [exec_dw_etf]MiniImpactExecUnit SZSE.ETF.159901 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 13:06:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371972915 <= 1693371975688, execute later
[2023.08.30 13:06:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371978879 <= 1693371983290, execute later
[2023.08.30 13:06:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371981932 <= 1693371987900, execute later
[2023.08.30 13:06:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371984964 <= 1693371987900, execute later
[2023.08.30 13:06:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371990646 <= 1693371992390, execute later
[2023.08.30 13:06:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371987870 <= 1693371992390, execute later
[2023.08.30 13:06:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371990918 <= 1693371996670, execute later
[2023.08.30 13:06:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371993959 <= 1693371996670, execute later
[2023.08.30 13:06:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371999866 <= 1693372002647, execute later
[2023.08.30 13:06:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372005866 <= 1693372011030, execute later
[2023.08.30 13:06:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372008884 <= 1693372011030, execute later
[2023.08.30 13:06:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372011866 <= 1693372014644, execute later
[2023.08.30 13:07:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372020910 <= 1693372023676, execute later
[2023.08.30 13:07:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372026928 <= 1693372029120, execute later
[2023.08.30 13:07:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372029703 <= 1693372032360, execute later
[2023.08.30 13:07:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372029955 <= 1693372032360, execute later
[2023.08.30 13:07:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372041878 <= 1693372044643, execute later
[2023.08.30 13:07:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372044894 <= 1693372045340, execute later
[2023.08.30 13:07:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372053856 <= 1693372056635, execute later
[2023.08.30 13:07:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372065677 <= 1693372069050, execute later
[2023.08.30 13:07:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372065868 <= 1693372069050, execute later
[2023.08.30 13:07:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372068863 <= 1693372071638, execute later
[2023.08.30 13:07:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372077871 <= 1693372083870, execute later
[2023.08.30 13:08:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372080870 <= 1693372083870, execute later
[2023.08.30 13:08:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693372083872 <= 1693372086651, execute later
