[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:28 - info ] ClosingTask of 600496[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601233[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603305[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605358[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603585[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600567[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603912[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603569[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600031[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605006[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688499[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601878[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603578[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600269[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600985[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603799[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600004[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600326[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600929[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603055[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601058[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600521[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603626[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600728[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688301[SSE] done, 0 datas processed totally
